sample	type
TCGA.05.4244.01	LUAD
TCGA.05.4249.01	LUAD
TCGA.05.4250.01	LUAD
TCGA.05.4382.01	LUAD
TCGA.05.4384.01	LUAD
TCGA.05.4389.01	LUAD
TCGA.05.4390.01	LUAD
TCGA.05.4395.01	LUAD
TCGA.05.4396.01	LUAD
TCGA.05.4397.01	LUAD
TCGA.05.4398.01	LUAD
TCGA.05.4402.01	LUAD
TCGA.05.4403.01	LUAD
TCGA.05.4405.01	LUAD
TCGA.05.4410.01	LUAD
TCGA.05.4415.01	LUAD
TCGA.05.4417.01	LUAD
TCGA.05.4418.01	LUAD
TCGA.05.4420.01	LUAD
TCGA.05.4422.01	LUAD
TCGA.05.4424.01	LUAD
TCGA.05.4425.01	LUAD
TCGA.05.4426.01	LUAD
TCGA.05.4427.01	LUAD
TCGA.05.4430.01	LUAD
TCGA.05.4432.01	LUAD
TCGA.05.4433.01	LUAD
TCGA.05.4434.01	LUAD
TCGA.05.5420.01	LUAD
TCGA.05.5423.01	LUAD
TCGA.05.5425.01	LUAD
TCGA.05.5428.01	LUAD
TCGA.05.5429.01	LUAD
TCGA.05.5715.01	LUAD
TCGA.17.Z000.01	LUAD
TCGA.17.Z001.01	LUAD
TCGA.17.Z002.01	LUAD
TCGA.17.Z003.01	LUAD
TCGA.17.Z004.01	LUAD
TCGA.17.Z005.01	LUAD
TCGA.17.Z007.01	LUAD
TCGA.17.Z008.01	LUAD
TCGA.17.Z009.01	LUAD
TCGA.17.Z010.01	LUAD
TCGA.17.Z011.01	LUAD
TCGA.17.Z012.01	LUAD
TCGA.17.Z013.01	LUAD
TCGA.17.Z014.01	LUAD
TCGA.17.Z015.01	LUAD
TCGA.17.Z016.01	LUAD
TCGA.17.Z017.01	LUAD
TCGA.17.Z018.01	LUAD
TCGA.17.Z019.01	LUAD
TCGA.17.Z020.01	LUAD
TCGA.17.Z021.01	LUAD
TCGA.17.Z022.01	LUAD
TCGA.17.Z023.01	LUAD
TCGA.17.Z025.01	LUAD
TCGA.17.Z026.01	LUAD
TCGA.17.Z027.01	LUAD
TCGA.17.Z028.01	LUAD
TCGA.17.Z030.01	LUAD
TCGA.17.Z031.01	LUAD
TCGA.17.Z032.01	LUAD
TCGA.17.Z033.01	LUAD
TCGA.17.Z035.01	LUAD
TCGA.17.Z036.01	LUAD
TCGA.17.Z037.01	LUAD
TCGA.17.Z038.01	LUAD
TCGA.17.Z039.01	LUAD
TCGA.17.Z040.01	LUAD
TCGA.17.Z041.01	LUAD
TCGA.17.Z042.01	LUAD
TCGA.17.Z043.01	LUAD
TCGA.17.Z044.01	LUAD
TCGA.17.Z045.01	LUAD
TCGA.17.Z046.01	LUAD
TCGA.17.Z047.01	LUAD
TCGA.17.Z048.01	LUAD
TCGA.17.Z049.01	LUAD
TCGA.17.Z050.01	LUAD
TCGA.17.Z051.01	LUAD
TCGA.17.Z052.01	LUAD
TCGA.17.Z053.01	LUAD
TCGA.17.Z054.01	LUAD
TCGA.17.Z055.01	LUAD
TCGA.17.Z056.01	LUAD
TCGA.17.Z057.01	LUAD
TCGA.17.Z058.01	LUAD
TCGA.17.Z059.01	LUAD
TCGA.17.Z060.01	LUAD
TCGA.17.Z061.01	LUAD
TCGA.17.Z062.01	LUAD
TCGA.35.3615.01	LUAD
TCGA.35.3621.01	LUAD
TCGA.35.4122.01	LUAD
TCGA.35.4123.01	LUAD
TCGA.35.5375.01	LUAD
TCGA.38.4625.01	LUAD
TCGA.38.4626.01	LUAD
TCGA.38.4627.01	LUAD
TCGA.38.4628.01	LUAD
TCGA.38.4629.01	LUAD
TCGA.38.4630.01	LUAD
TCGA.38.4631.01	LUAD
TCGA.38.4632.01	LUAD
TCGA.38.6178.01	LUAD
TCGA.38.7271.01	LUAD
TCGA.38.A44F.01	LUAD
TCGA.44.2655.01	LUAD
TCGA.44.2656.01	LUAD
TCGA.44.2657.01	LUAD
TCGA.44.2659.01	LUAD
TCGA.44.2661.01	LUAD
TCGA.44.2662.01	LUAD
TCGA.44.2665.01	LUAD
TCGA.44.2666.01	LUAD
TCGA.44.2668.01	LUAD
TCGA.44.3396.01	LUAD
TCGA.44.3398.01	LUAD
TCGA.44.3917.01	LUAD
TCGA.44.3918.01	LUAD
TCGA.44.3919.01	LUAD
