rank.sign.logp.heart	rank.sign.logp.lung	rank.sign.logp.kidney	rank.sign.logp.spleen
178	3529	82	1459
2570	4175	3773	3674
8664	14061	13244	11152
3891	6477	724	2866
15009	14755	14892	15071
1249	3722	9401	10886
8822	3573	3155	3032
2120	3310	211	1701
11681	5655	8780	10138
3837	2065	810	7349
5211	5811	4148	4071
5676	11700	5392	4347
2583	3701	4047	4968
531	426	745	1854
237	1301	3704	1433
2026	5408	389	4480
7588	6782	5930	10051
9357	10213	8037	6602
12913	8740	9287	6016
3839	7373	7917	12950
6252	4651	3549	3698
9500	12531	8630	9701
1085	1555	2156	932
1496	4690	12570	7851
4712	8427	6399	8167
6233	9939	5045	5571
11700	11323	13002	9050
6748	5689	6250	9515
9715	8888	5335	8109
7546	9184	9594	6778
7638	10702	8874	9244
4861	9541	4351	8793
8223	7088	3065	6056
7303	10045	7160	10281
8279	8702	8420	5244
8509	9006	12066	7638
6749	6714	9376	8326
9134	9478	12592	6772
14222	15121	12624	15249
6772	4228	5890	5470
3286	6290	4907	7809
6672	9672	5596	6980
10396	8580	8904	8675
8584	4764	12743	5118
7551	10144	4134	8525
4170	11621	7200	7917
11209	11241	11432	10792
14318	11494	15041	11766
7775	8835	9146	5709
12326	6784	9014	8300
9207	9154	10770	8175
5245	8225	739	3924
3510	8349	1703	2835
10508	7483	6638	7903
7762	8268	8535	11542
9381	5021	8362	5903
4277	5273	1549	3639
6272	10206	11399	10086
4810	8135	3066	7562
8657	11197	13123	8203
5449	11382	7334	5916
14295	13519	14913	14562
482	3158	1938	2254
9171	9270	8523	8282
5842	9398	11305	10091
5147	14702	10691	7144
12564	10955	7210	9913
8224	11108	8919	7566
4576	4763	4982	4477
8740	4709	9623	2503
249	1185	589	934
3192	8246	7079	11992
11980	7374	2035	2607
10781	5208	9890	7091
8042	6928	6730	9171
3763	9384	9503	8734
9968	6767	1756	3929
6284	9080	5130	5077
11478	5131	393	2481
8559	11732	2869	11617
2563	3317	3819	2521
5549	12168	5625	6770
3298	8960	2488	6714
9040	10403	6240	5188
7059	5378	1522	2144
13900	14492	8208	14499
12374	13959	8292	14004
6549	4415	1350	8405
9330	4680	12001	3135
12224	7379	4119	6355
9192	11282	112	3219
11924	6762	6091	5479
7527	12336	10710	11456
11695	13717	14389	13922
801	4492	2062	1568
3761	4210	5801	7295
2787	10250	4552	10055
2730	4102	3537	5127
11514	13158	3655	11650
211	1443	657	721
4543	3378	3338	5285
1361	1320	11346	599
2635	1844	8217	967
10952	13478	10607	2941
5994	7707	8442	5592
1355	3117	8229	2325
3413	5965	3025	4189
8939	11679	6981	10713
5217	4787	3413	11297
5544	5199	2876	3329
8294	7310	7639	3427
6759	5137	1155	8630
6226	2744	14019	2446
5579	5163	5526	6112
8681	14197	13823	14159
14120	13695	14152	13669
12654	6360	4220	2676
981	2722	2101	1611
7657	7232	8395	5539
9570	9361	4599	5891
8317	8504	5185	6098
12140	14380	13653	15135
2653	4647	6049	4355
2265	5905	6688	3065
